Transaction_ID,Product_ID,Customer_ID,Purchase_Date,Quantity,Total_Price
1.0,1641.0,748.0,2024-03-02,2.0,450.18
2.0,1959.0,1067.0,2024-10-11,3.0,201.0
3.0,1007.0,2696.0,2024-11-26,1.0,260.68
4.0,1128.0,668.0,2024-12-29,1.0,443.29
5.0,1348.0,1343.0,2024-06-12,3.0,65.78
6.0,1075.0,2927.0,2024-11-03,2.0,276.26
7.0,,2004.0,2024-09-20,1.0,147.04
8.0,1984.0,2636.0,2024-05-26,1.0,292.65
9.0,1376.0,333.0,2024-07-07,,290.72
10.0,1699.0,2428.0,2024-04-28,1.0,228.37
11.0,1103.0,2154.0,2023-03-11,1.0,489.58
12.0,1166.0,1431.0,2023-06-30,1.0,355.06
13.0,1435.0,2442.0,2024-10-17,1.0,249.49
14.0,1194.0,2359.0,2024-10-10,2.0,316.7
15.0,1013.0,,2023-04-19,4.0,246.49
16.0,1634.0,1799.0,2024-09-09,3.0,238.05
17.0,1304.0,1844.0,2024-03-19,4.0,497.9
18.0,1831.0,2022.0,,5.0,109.1
19.0,1616.0,679.0,2023-04-07,1.0,395.99
20.0,1428.0,612.0,2023-10-17,4.0,165.21
21.0,1659.0,980.0,2024-07-25,1.0,167.82
22.0,1276.0,1430.0,2023-08-13,2.0,269.69
23.0,1554.0,2818.0,2024-12-16,1.0,
24.0,1378.0,,2023-04-13,1.0,23.53
25.0,1947.0,,2025-01-21,4.0,180.3
26.0,1083.0,1846.0,2023-07-10,,28.28
27.0,1431.0,2408.0,2025-01-23,2.0,388.81
28.0,1461.0,2667.0,2024-02-13,1.0,17.91
,1761.0,1026.0,2024-06-20,5.0,189.12
30.0,1197.0,94.0,2024-05-16,3.0,481.79
31.0,1525.0,2011.0,,3.0,103.28
,1314.0,1705.0,2024-02-18,5.0,108.44
33.0,1887.0,206.0,2023-12-12,3.0,401.03
34.0,1571.0,2371.0,2023-08-18,3.0,260.11
35.0,1002.0,681.0,2024-07-19,1.0,434.45
36.0,1097.0,1903.0,2024-02-03,1.0,33.03
37.0,1798.0,2174.0,2024-03-28,3.0,194.6
38.0,1915.0,,2024-05-21,3.0,293.5
39.0,1755.0,423.0,2023-03-22,1.0,312.27
40.0,1513.0,1166.0,2024-03-13,,423.33
41.0,1099.0,124.0,2023-03-06,2.0,308.01
42.0,1314.0,314.0,2025-01-07,5.0,265.37
43.0,1304.0,2531.0,2024-09-10,4.0,40.83
44.0,1818.0,1534.0,2023-11-04,4.0,11.57
45.0,1484.0,2134.0,2024-06-01,,365.78
46.0,1540.0,1677.0,2023-11-19,3.0,50.3
47.0,1787.0,322.0,2023-12-02,,358.29
48.0,1019.0,538.0,2023-05-04,5.0,404.9
49.0,1936.0,702.0,2023-10-26,3.0,432.88
50.0,1339.0,464.0,2024-02-23,3.0,481.95
51.0,1310.0,514.0,2023-06-16,5.0,100.53
52.0,1269.0,1298.0,2024-12-18,,132.73
53.0,1240.0,1070.0,2023-03-31,2.0,326.29
54.0,1628.0,32.0,2024-06-29,5.0,357.5
55.0,1123.0,2327.0,2024-01-27,3.0,97.64
56.0,1586.0,2991.0,2024-04-05,4.0,128.86
57.0,1492.0,2668.0,2023-06-11,3.0,56.73
58.0,1880.0,54.0,2024-10-09,1.0,6.76
59.0,1729.0,1255.0,2024-01-15,5.0,30.38
60.0,1594.0,994.0,2023-05-09,1.0,319.1
61.0,1217.0,2248.0,,4.0,177.2
